region,month,ndvi_anomaly,rainfall_anomaly,food_price_inflation,temp_anomaly,risk_label,ndvi_anomaly_lag1,ndvi_anomaly_lag2,rainfall_anomaly_lag1,rainfall_anomaly_lag2,food_price_inflation_lag1,food_price_inflation_lag2,temp_anomaly_lag1,temp_anomaly_lag2
Baringo,2023/01,-0.125459881,0.5507143064099161,0.10979909127171077,0.159195091,1,0,0,0,0,0,0,0,0
Baringo,2023/02,-0.34398136,-0.24400548,0.008712542,0.31970568746496114,2,-0.125459881,0,0.5507143064099161,0,0.10979909127171077,0,0.159195091,0
Baringo,2023/03,0.1011150117432088,0.30807257779604547,0.003087674,0.3819459112971966,1,-0.34398136,-0.125459881,-0.24400548,0.5507143064099161,0.008712542,0.10979909127171077,0.31970568746496114,0.159195091
Baringo,2023/04,0.33244264080042174,-0.187660889,0.027273745,-0.089957294,1,0.1011150117432088,-0.34398136,0.30807257779604547,-0.24400548,0.003087674,0.008712542,0.3819459112971966,0.31970568746496114
Baringo,2023/05,-0.195757757,0.12475643163223782,0.064791753,-0.025262516,2,0.33244264080042174,0.1011150117432088,-0.187660889,0.30807257779604547,0.027273745,0.003087674,-0.089957294,0.3819459112971966
Baringo,2023/06,0.11185289472237947,-0.260506139,0.043821697,0.019817105976215055,2,-0.195757757,0.33244264080042174,0.12475643163223782,-0.187660889,0.064791753,0.027273745,-0.025262516,-0.089957294
Baringo,2023/07,-0.043930016,0.3851759613930136,0.029951067,0.10854066304816701,1,0.11185289472237947,-0.195757757,-0.260506139,0.12475643163223782,0.043821697,0.064791753,0.019817105976215055,-0.025262516
Baringo,2023/08,0.092414569,-0.353549587,0.091131728,-0.097685526,2,-0.043930016,0.11185289472237947,0.3851759613930136,-0.260506139,0.029951067,0.043821697,0.10854066304816701,0.019817105976215055
Baringo,2023/09,-0.434948407,0.5488855372533332,0.1448448049611839,0.28503840886987675,2,0.092414569,-0.043930016,-0.353549587,0.3851759613930136,0.091131728,0.029951067,-0.097685526,0.10854066304816701
Baringo,2023/10,-0.195386231,-0.302327886,0.10263495397682353,0.064091496,2,-0.434948407,0.092414569,0.5488855372533332,-0.353549587,0.1448448049611839,0.091131728,0.28503840886987675,-0.097685526
Baringo,2023/11,-0.377961765,0.09517691,0.005158278,0.34559224124726934,2,-0.195386231,-0.434948407,-0.302327886,0.5488855372533332,0.10263495397682353,0.1448448049611839,0.064091496,0.28503840886987675
Baringo,2023/12,-0.241220018,0.26252228435398195,0.046756661,0.11204081270668653,2,-0.377961765,-0.195386231,0.09517691,-0.302327886,0.005158278,0.10263495397682353,0.34559224124726934,0.064091496
Baringo,2024/01,0.046710279,-0.215145544,0.14543769416468377,0.2650796940166688,2,-0.241220018,-0.377961765,0.26252228435398195,0.09517691,0.046756661,0.005158278,0.11204081270668653,0.34559224124726934
Baringo,2024/02,0.4394989415641891,0.4948273504276488,0.089684997,0.3531245410138702,1,0.046710279,-0.241220018,-0.215145544,0.26252228435398195,0.14543769416468377,0.046756661,0.2650796940166688,0.11204081270668653
Baringo,2024/03,-0.411507498,-0.204017138,0.006784093,-0.004801802,2,0.4394989415641891,0.046710279,0.4948273504276488,-0.215145544,0.089684997,0.14543769416468377,0.3531245410138702,0.2650796940166688
Baringo,2024/04,-0.11132271,-0.128650968,0.12431062637278939,0.014051996,2,-0.411507498,0.4394989415641891,-0.204017138,0.4948273504276488,0.006784093,0.089684997,-0.004801802,0.3531245410138702
Baringo,2024/05,-0.21906549,0.14269608315824844,0.021138633746214396,0.28131818845242385,2,-0.11132271,-0.411507498,-0.128650968,-0.204017138,0.12431062637278939,0.006784093,0.014051996,-0.004801802
Baringo,2024/06,-0.425449356,0.5868869366005173,0.11583671539449861,-0.080770591,1,-0.21906549,-0.11132271,0.14269608315824844,-0.128650968,0.021138633746214396,0.12431062637278939,0.28131818845242385,0.014051996
Baringo,2024/07,-0.494477883,0.41546142845483414,0.10602860157714257,0.23740430082459246,2,-0.425449356,-0.21906549,0.5868869366005173,0.14269608315824844,0.11583671539449861,0.021138633746214396,-0.080770591,0.28131818845242385
Baringo,2024/08,0.27127034668594574,-0.325955348,0.053769859,-0.130478564,1,-0.494477883,-0.425449356,0.41546142845483414,0.5868869366005173,0.10602860157714257,0.11583671539449861,0.23740430082459246,-0.080770591
Baringo,2024/09,0.3631034258755935,0.2232981268275579,0.049634704,-0.16186499,0,0.27127034668594574,-0.494477883,-0.325955348,0.41546142845483414,0.053769859,0.10602860157714257,-0.130478564,0.23740430082459246
Baringo,2024/10,-0.189017678,-0.074816678,0.10944092675070961,0.1825344828131279,2,0.3631034258755935,0.27127034668594574,0.2232981268275579,-0.325955348,0.049634704,0.053769859,-0.16186499,-0.130478564
Baringo,2024/11,0.38721274257632654,0.072214925,0.017939136890745253,0.22794687233379707,1,-0.189017678,0.3631034258755935,-0.074816678,0.2232981268275579,0.10944092675070961,0.049634704,0.1825344828131279,-0.16186499
Baringo,2024/12,0.26078504861689744,0.1612771975694962,0.11564507699318415,0.096277358,1,0.38721274257632654,-0.189017678,0.072214925,-0.074816678,0.017939136890745253,0.10944092675070961,0.22794687233379707,0.1825344828131279
Bomet,2023/01,0.022732829381994057,0.027541018358549607,0.003812869,-0.135265144,1,0,0,0,0,0,0,0,0
Bomet,2023/02,-0.468570814,0.23641041126378037,0.047153397,0.10514241469882168,2,0.022732829381994057,0,0.027541018358549607,0,0.003812869,0,-0.135265144,0
Bomet,2023/03,0.407566474,-0.150707771,0.061557438455344456,0.25333068312582924,2,-0.468570814,0.022732829381994057,0.23641041126378037,0.027541018358549607,0.047153397,0.003812869,0.10514241469882168,-0.135265144
Bomet,2023/04,-0.271201835,-0.32302009,0.043462718,-0.103267228,2,0.407566474,-0.468570814,-0.150707771,0.23641041126378037,0.061557438455344456,0.047153397,0.25333068312582924,0.10514241469882168
